"imageUrls","title","address","website","phone","totalScore","rank","reviewsCount","isAdvertisement","categoryName","searchString","url"
,"Woollen’s Garden","6800 E Fall Creek Pkwy N Dr, Indianapolis, IN 46226","http://funfinder.indy.gov/#/details/71","(317) 327-2473","4.1","80","10","false","Nature preserve","tourist attractions in indianapolis","https://www.google.com/maps/place/Woollen%E2%80%99s+Garden/@39.8627609,-86.0512693,17z/data=!3m1!4b1!4m5!3m4!1s0x886b4dad967dc423:0xa0f307d4d75bf94!8m2!3d39.8627609!4d-86.0512693?hl=en"
,"Victory Field","501 W Maryland St, Indianapolis, IN 46225","http://www.indyindians.com/","(317) 269-3545","4.8","79","4526","false","Stadium","tourist attractions in indianapolis","https://www.google.com/maps/place/Victory+Field/@39.7647442,-86.1686743,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b1ef9c93d3:0xfdfbdb53fd66e6a7!8m2!3d39.7647442!4d-86.1686743?hl=en"
,"Freedom Springs Greenwood Aquatics Park","850 W Stop 18 Rd, Greenwood, IN 46143","http://www.greenwood.in.gov/freedomsprings","(317) 884-2078","4.4","78","1245","false","Water park","tourist attractions in indianapolis","https://www.google.com/maps/place/Freedom+Springs+Greenwood+Aquatics+Park/@39.5948175,-86.1273327,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5d7bae674ed9:0xe52c240ef4579353!8m2!3d39.5948175!4d-86.1273327?hl=en"
,"Marengo Cave U.S. National Landmark","400 East State Rd 64, Marengo, IN 47140","http://www.marengocave.com/","(812) 365-2705","4.7","77","1500","false","Tourist attraction","tourist attractions in indianapolis","https://www.google.com/maps/place/Marengo+Cave+U.S.+National+Landmark/@38.3729416,-86.3378788,17z/data=!3m1!4b1!4m5!3m4!1s0x886eb17d32f02b15:0x3bb02d98587e5a8c!8m2!3d38.3729416!4d-86.3378788?hl=en"
,"Bad Axe Throwing Indianapolis","235 S Meridian St #211, Indianapolis, IN 46225","https://badaxethrowing.com/locations/axe-throwing-indianapolis/","(844) 818-0999","4.9","76","1705","false","Event venue","tourist attractions in indianapolis","https://www.google.com/maps/place/Bad+Axe+Throwing+Indianapolis/@39.7633316,-86.1580671,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50a32c02eb2f:0x6ab244461b61f36f!8m2!3d39.7633093!4d-86.1580743?hl=en"
,"White River Scenic Viewpoint","1422 Astor St, Indianapolis, IN 46222","https://www.whiteriverstatepark.org/","(317) 233-2434","4.9","75","13","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/White+River+Scenic+Viewpoint/@39.770473,-86.185491,17z/data=!3m1!4b1!4m5!3m4!1s0x886b57f6a2974f23:0xcd08bc2d935201d0!8m2!3d39.770473!4d-86.185491?hl=en"
,"INdy ConneXion","12295 Chiseled Stone Dr, Fishers, IN 46037","https://indyconnexion.com/","(317) 800-0645",,"74","0","false","Tourist attraction","tourist attractions in indianapolis","https://www.google.com/maps/place/INdy+ConneXion/@39.967069,-85.9464821,17z/data=!3m1!4b1!4m5!3m4!1s0x8814b5b13be07113:0xe69dbcb20eb945b1!8m2!3d39.967069!4d-85.9464821?hl=en"
,"Saint John the Evangelist","126 W Georgia St, Indianapolis, IN 46225","http://www.stjohnsindy.org/","(317) 635-2021","4.8","73","398","false","Catholic church","tourist attractions in indianapolis","https://www.google.com/maps/place/Saint+John+the+Evangelist/@39.7648686,-86.1616275,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50bb38cec4ab:0x44455c02b38d2c2c!8m2!3d39.7648681!4d-86.1616241?hl=en"
,"Lockerbie Square Historic District","342-332 N Park Ave, Indianapolis, IN 46202",,,"4.3","72","3","false","Historical place","tourist attractions in indianapolis","https://www.google.com/maps/place/Lockerbie+Square+Historic+District/@39.7724126,-86.1471989,17z/data=!3m1!4b1!4m5!3m4!1s0x886b509320782001:0x9f5e16669dd9912f!8m2!3d39.7724125!4d-86.1471946?hl=en"
,"Crown Hill Funeral Home and Cemetery","700 38th St, Indianapolis, IN 46208","http://www.crownhill.org/","(317) 925-3800","4.4","71","132","false","Funeral home","tourist attractions in indianapolis","https://www.google.com/maps/place/Crown+Hill+Funeral+Home+and+Cemetery/@39.825539,-86.172127,17z/data=!3m1!4b1!4m5!3m4!1s0x886b514cf75abaf5:0x6fec4de390b9b360!8m2!3d39.825539!4d-86.172127?hl=en"
,"Lanier Mansion State Historic Site","601 W 1st St, Madison, IN 47250","http://www.indianamuseum.org/lanier-mansion","(812) 265-3526","4.8","70","327","false","Museum","tourist attractions in indianapolis","https://www.google.com/maps/place/Lanier+Mansion+State+Historic+Site/@38.7355288,-85.387179,17z/data=!3m1!4b1!4m5!3m4!1s0x886a3b2e0c23c9d3:0x21024e4a7a707a02!8m2!3d38.7356082!4d-85.3867996?hl=en"
,"indiana beach IM campgrounds","1739 W Edgewood Ave, Indianapolis, IN 46217",,,,"69","0","false","Tourist attraction","tourist attractions in indianapolis","https://www.google.com/maps/place/indiana+beach+IM+campgrounds/@39.6774745,-86.1926966,17z/data=!3m1!4b1!4m5!3m4!1s0x886b59d8201dceab:0x532867370090da23!8m2!3d39.677537!4d-86.1926991?hl=en"
,"CityWay Gallery","216 E South St, Indianapolis, IN 46204","https://www.cityway.com/artgallery","(317) 624-8200","3.6","68","22","false","Art gallery","tourist attractions in indianapolis","https://www.google.com/maps/place/CityWay+Gallery/@39.7617511,-86.1537171,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5a789fb3ee9b:0xaa52ad33849450bc!8m2!3d39.7617511!4d-86.1537171?hl=en"
,"Irving Circle Park","236 S Audubon Rd, Indianapolis, IN 46219","http://funfinder.indy.gov/#/details/127","(317) 862-6876","4.6","67","185","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Irving+Circle+Park/@39.7663874,-86.0702446,17z/data=!3m1!4b1!4m5!3m4!1s0x886b4f9465da0283:0x358a4e70483775fa!8m2!3d39.7663874!4d-86.0702446?hl=en"
,"Indiana Dunes National Park","1215 N State Rd 49, Porter, IN 46304","https://www.nps.gov/indu/index.htm","(219) 395-1882","4.6","66","8491","false","National park","tourist attractions in indianapolis","https://www.google.com/maps/place/Indiana+Dunes+National+Park/@41.6505655,-87.07082,17z/data=!3m1!4b1!4m5!3m4!1s0x8811be838b1641e5:0x33ab95f9d65d070e!8m2!3d41.6505655!4d-87.07082?hl=en"
,"Obelisk Square","501 N Meridian St, Indianapolis, IN 46204","http://obelisk-square.edan.io/",,"4.7","65","72","false","Memorial park","tourist attractions in indianapolis","https://www.google.com/maps/place/Obelisk+Square/@39.7747816,-86.1568947,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50c0644aaba3:0x97c37e7434f41a2d!8m2!3d39.7747816!4d-86.1568947?hl=en"
,"Idle Park","800 Virginia Ave, Indianapolis, IN 46203","http://www.idleindy.com/",,"4.8","64","120","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Idle+Park/@39.7556694,-86.1440895,17z/data=!3m1!4b1!4m5!3m4!1s0x886b51712e1295a5:0x31f6ba240728ca34!8m2!3d39.7556694!4d-86.1440895?hl=en"
,"Colorful Fountains","100N N Senate Ave, Indianapolis, IN 46204",,,,"63","0","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Colorful+Fountains/@39.7687813,-86.1635697,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5127a37e5b85:0xf80f60ba5ac8991b!8m2!3d39.7687813!4d-86.1635697?hl=en"
,"indianapois raceway park","7001 Corporate Dr, Indianapolis, IN 46278",,,,"62","0","false","Tourist attraction","tourist attractions in indianapolis","https://www.google.com/maps/place/indianapois+raceway+park/@39.8802782,-86.2648131,17z/data=!3m1!4b1!4m5!3m4!1s0x886cabd0adb0be3b:0x55c771005809d8f6!8m2!3d39.880264!4d-86.2649261?hl=en"
,"Herron-Morton Place Park","1927 Alabama St, Indianapolis, IN 46202","http://herron-morton.com/","(773) 610-2969","4.8","61","78","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Herron-Morton+Place+Park/@39.7931971,-86.1519731,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50e0334477c9:0xaea35f5cd6e3370f!8m2!3d39.7931971!4d-86.1519731?hl=en"
,"Celebration Plaza Amphitheater","801 W Washington St, Indianapolis, IN 46204","https://www.whiteriverstatepark.org/","(317) 233-2434","4.7","60","29","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Celebration+Plaza+Amphitheater/@39.7665145,-86.170606,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b30bf49c39:0xd311c2c8d612c2f5!8m2!3d39.7665145!4d-86.170606?hl=en"
,"Glick Peace Walk","Indianapolis Cultural Trail, Indianapolis, IN 46204","https://indyculturaltrail.org/alongthetrail/glick-peace-walk/",,"4.6","59","5","false","Memorial park","tourist attractions in indianapolis","https://www.google.com/maps/place/Glick+Peace+Walk/@39.7767924,-86.1581078,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50c11c9a06c1:0x8920d021a611c77c!8m2!3d39.7767924!4d-86.1581078?hl=en"
,"Hindu Temple of Central Indiana","3350 N German Church Rd, Indianapolis, IN 46235","http://www.htci.org/","(317) 891-9199","4.8","58","903","false","Hindu temple","tourist attractions in indianapolis","https://www.google.com/maps/place/Hindu+Temple+of+Central+Indiana/@39.8186135,-85.9732786,17z/data=!3m1!4b1!4m5!3m4!1s0x886b4977848e3fff:0xea36feb1eb937dc6!8m2!3d39.8186135!4d-85.9732786?hl=en"
,"Rhodius Park","1720 W Wilkins St, Indianapolis, IN 46221",,"(317) 327-7191","4.2","57","505","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Rhodius+Park/@39.7540744,-86.1943059,17z/data=!3m1!4b1!4m5!3m4!1s0x886b59e18b54c35d:0x5d3310306bca87ad!8m2!3d39.7540744!4d-86.1943059?hl=en"
,"Indiana State Capitol","Indiana State Capitol, 200 W Washington St, Indianapolis, IN 46204",,,"5","56","1","false","Tourist attraction","tourist attractions in indianapolis","https://www.google.com/maps/place/Indiana+State+Capitol/@39.7687106,-86.1628562,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5185620da7d3:0x34aa7418482c9e19!8m2!3d39.7687106!4d-86.1628562?hl=en"
,"Brown County State Park","1801 IN-46, Nashville, IN 47448","http://on.in.gov/browncountysp","(812) 988-6406","4.8","55","5439","false","State park","tourist attractions in indianapolis","https://www.google.com/maps/place/Brown+County+State+Park/@39.1933217,-86.2165859,17z/data=!3m1!4b1!4m5!3m4!1s0x886b8711f4892c03:0xae862da38db4aebc!8m2!3d39.1933217!4d-86.2165859?hl=en"
,"Pogues Run Art and Nature Park","2300 Dequincy St, Indianapolis, IN 46218",,"(317) 327-7275","4.2","54","182","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Pogues+Run+Art+and+Nature+Park/@39.8001176,-86.0881254,17z/data=!3m1!4b1!4m5!3m4!1s0x886b4e2f282e8f13:0xc1bde372b6cd7ab1!8m2!3d39.8001176!4d-86.0881254?hl=en"
,"Congressional Medal of Honor Memorial","650 W Washington St, Indianapolis, IN 46204","http://www.indianawarmemorials.org/","(317) 261-5447","4.6","53","49","false","Memorial park","tourist attractions in indianapolis","https://www.google.com/maps/place/Congressional+Medal+of+Honor+Memorial/@39.7693755,-86.1688141,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b6ca759151:0xbf425b60b1405e1a!8m2!3d39.7693755!4d-86.1688141?hl=en"
,"The Children's Maze","801 W Washington St, Indianapolis, IN 46204","https://www.whiteriverstatepark.org/","(317) 233-2434","4.1","52","20","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/The+Children's+Maze/@39.7669551,-86.1707383,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b3cdfe134d:0xa47a5fe4993862be!8m2!3d39.7669551!4d-86.1707383?hl=en"
,"Indy Stargate","Indianapolis, IN 46204",,,"4.5","51","2","false","Tourist attraction","tourist attractions in indianapolis","https://www.google.com/maps/place/Indy+Stargate/@39.7682618,-86.1634523,17z/data=!3m1!4b1!4m5!3m4!1s0x886b51cd102d48ed:0xae8f940efe3ec60!8m2!3d39.7682618!4d-86.1634523?hl=en"
,"Downtown Indy, Inc.","111 Monument Cir #250, Indianapolis, IN 46204","http://downtownindy.org/","(317) 237-2222","4.6","50","267","false","Visitor center","tourist attractions in indianapolis","https://www.google.com/maps/place/Downtown+Indy,+Inc./@39.7697184,-86.1556195,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50be7e75d209:0x30ded47694a4b12c!8m2!3d39.7696821!4d-86.1556207?hl=en"
,"K1 Speed - Indoor Go Karts, Corporate Event Venue, Team Building Activities","9998 E 121st St, Fishers, IN 46037","https://k1speed.com/indianapolis-location.html?utm_campaign=gbl_indy&utm_source=google&utm_medium=directory","(317) 348-1176","4.4","49","1123","false","Go-kart track","tourist attractions in indianapolis","https://www.google.com/maps/place/K1+Speed+-+Indoor+Go+Karts,+Corporate+Event+Venue,+Team+Building+Activities/@39.966604,-85.9908485,17z/data=!3m1!4b1!4m5!3m4!1s0x8814b44267e0a4bb:0x921ff5a9a4e70c5b!8m2!3d39.966604!4d-85.9908485?hl=en"
,"Watkins Park","2360 Doctor M.L.K. Jr St, Indianapolis, IN 46208","http://funfinder.indy.gov/#/details/81","(317) 327-7175","4.3","48","320","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Watkins+Park/@39.799993,-86.1712861,17z/data=!3m1!4b1!4m5!3m4!1s0x886b512b8a0b8df9:0x7d94bade7153e080!8m2!3d39.799993!4d-86.1712861?hl=en"
,"Butterfly Wings","176e E South St, Indianapolis, IN 46204",,,"5","47","1","false","Tourist attraction","tourist attractions in indianapolis","https://www.google.com/maps/place/Butterfly+Wings/@39.7619356,-86.1550271,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5111a5888321:0x2ef9139ace4c2add!8m2!3d39.7619356!4d-86.1550271?hl=en"
,"Indiana State Police Museum","8660 East 21st St, Indianapolis, IN 46219","http://www.in.gov/isp/2335.htm","(317) 899-8293","4.6","46","105","false","Local history museum","tourist attractions in indianapolis","https://www.google.com/maps/place/Indiana+State+Police+Museum/@39.7970621,-86.0147431,17z/data=!3m1!4b1!4m5!3m4!1s0x886b4ed23b25afbf:0x83d019663415cf60!8m2!3d39.7969782!4d-86.0147414?hl=en"
,"Eugene and Marilyn Glick Indiana History Center","450 W Ohio St, Indianapolis, IN 46202","http://www.indianahistory.org/","(317) 232-1882","4.5","45","18","false","Historical society","tourist attractions in indianapolis","https://www.google.com/maps/place/Eugene+and+Marilyn+Glick+Indiana+History+Center/@39.770259,-86.1658766,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b741ca9237:0xffe4c16f3cfb70!8m2!3d39.770259!4d-86.1658766?hl=en"
,"Dillard D. Park","1901 E Washington St, Indianapolis, IN 46201",,,,"44","0","false","Tourist attraction","tourist attractions in indianapolis","https://www.google.com/maps/place/Dillard+D.+Park/@39.7668108,-86.1278133,17z/data=!3m1!4b1!4m5!3m4!1s0x886b517dd3fe1c13:0x875dabca444b8993!8m2!3d39.7668108!4d-86.1278133?hl=en"
,"Presidential Place Park","301 E Washington St, Indianapolis, IN 46204","http://funfinder.indy.gov/#/details/72","(317) 327-7411","4.4","43","33","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Presidential+Place+Park/@39.766859,-86.1520238,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5096f8bf5327:0x532ece6265d9ac95!8m2!3d39.766859!4d-86.1520238?hl=en"
,"NCAA Hall of Champions","White River State Park, 700 W Washington St, Indianapolis, IN 46204","http://www.ncaahallofchampions.org/","(317) 916-4255","4.4","42","418","false","Heritage museum","tourist attractions in indianapolis","https://www.google.com/maps/place/NCAA+Hall+of+Champions/@39.7680704,-86.1714803,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b2368c91a9:0xf2121dc75a8f15e6!8m2!3d39.7680704!4d-86.1714803?hl=en"
,"Holliday Park Nature Center","6363 Spring Mill Rd, Indianapolis, IN 46260","https://www.hollidaypark.org/","(317) 327-7180","4.8","41","495","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Holliday+Park+Nature+Center/@39.8715579,-86.1611732,17z/data=!3m1!4b1!4m5!3m4!1s0x886b539bf52dbbd7:0x56cbc6394bb68745!8m2!3d39.8715579!4d-86.1611732?hl=en"
,"IPS Crispus Attucks Museum","1140 Doctor M.L.K. Jr St, Indianapolis, IN 46202","https://facebook.com/crispus.attucks.549","(317) 409-5281","4.8","40","43","false","History museum","tourist attractions in indianapolis","https://www.google.com/maps/place/IPS+Crispus+Attucks+Museum/@39.7829242,-86.169851,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50ce44d0908b:0x396a23a264313d33!8m2!3d39.7829242!4d-86.169851?hl=en"
,"Depew Memorial Fountain","307 N Meridian St, Indianapolis, IN 46204","https://wkpd.one/JyzcGU",,"4.7","39","97","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Depew+Memorial+Fountain/@39.7720124,-86.1569877,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50bfa5f275ab:0x65468a6cf314b285!8m2!3d39.7720124!4d-86.1569877?hl=en"
,"Conner Prairie","13400 Allisonville Rd, Fishers, IN 46038","https://www.connerprairie.org/","(317) 776-6000","4.6","38","1592","false","Museum","tourist attractions in indianapolis","https://www.google.com/maps/place/Conner+Prairie/@39.9845164,-86.0287784,17z/data=!3m1!4b1!4m5!3m4!1s0x8814b3ef0e730069:0x493a3de27efc924e!8m2!3d39.9845164!4d-86.0287784?hl=en"
,"The Escape Room Indianapolis","200 S Meridian St STE 220, Indianapolis, IN 46225","https://escaperoomindy.com/","(317) 986-6542","4.8","37","1864","false","Escape room center","tourist attractions in indianapolis","https://www.google.com/maps/place/The+Escape+Room+Indianapolis/@39.7639469,-86.1584453,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50bcca09c05b:0x1cf47bd25f0aa86b!8m2!3d39.7639469!4d-86.1584453?hl=en"
,"German Park","8600 S Meridian St, Indianapolis, IN 46217","http://germanparkindy.org/","(317) 885-0283","4.5","36","428","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/German+Park/@39.6411532,-86.1607964,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5c3a1410e969:0xea12c3dd02c61d2e!8m2!3d39.6411532!4d-86.1607964?hl=en"
,"Landmark for Peace Memorial","1702 N Broadway St, Indianapolis, IN 46202","http://funfinder.indy.gov/#/details/45","(317) 667-9341","4.7","35","129","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Landmark+for+Peace+Memorial/@39.7907453,-86.1463543,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50e31085cc33:0xf32472d5a538956!8m2!3d39.7907453!4d-86.1463543?hl=en"
,"Military Park","601 W New York St, Indianapolis, IN 46202","https://www.whiteriverstatepark.org/","(317) 233-2434","4.6","34","1592","false","Memorial park","tourist attractions in indianapolis","https://www.google.com/maps/place/Military+Park/@39.77059,-86.1687006,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b6ea7210b3:0x8f2a7104c9f799d8!8m2!3d39.77059!4d-86.1687006?hl=en"
,"Holcomb Gardens","Garden Rd, Indianapolis, IN 46208","https://tclf.org/butler-university-holcomb-gardens","(800) 368-6852","4.7","33","200","false","Garden","tourist attractions in indianapolis","https://www.google.com/maps/place/Holcomb+Gardens/@39.8447615,-86.170417,17z/data=!3m1!4b1!4m5!3m4!1s0x886b53f9f4438549:0x5d9fe659203af53f!8m2!3d39.8447615!4d-86.170417?hl=en"
,"Garfield Park Conservatory","2505 Conservatory Dr, Indianapolis, IN 46203","https://www.garfieldgardensconservatory.org/","(317) 327-7183","4.7","32","1313","false","Botanical garden","tourist attractions in indianapolis","https://www.google.com/maps/place/Garfield+Park+Conservatory/@39.7324501,-86.1413077,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5a6763a09bbb:0x86bbddf267d9417c!8m2!3d39.7324501!4d-86.1413077?hl=en"
,"Virginia B. Fairbanks Art & Nature Park","1850 W 38th St, Indianapolis, IN 46228","https://discovernewfields.org/do-and-see/places-to-go/virginia-b-fairbanks-art-nature-park-100-acres","(317) 923-1331","4.7","31","1428","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Virginia+B.+Fairbanks+Art+%26+Nature+Park/@39.825996,-86.1894275,17z/data=!3m1!4b1!4m5!3m4!1s0x886b56bb3b5df7f1:0x1de0e10534a54bbd!8m2!3d39.825996!4d-86.1894275?hl=en"
,"Highland Park","1100 E New York St, Indianapolis, IN 46202","http://funfinder.indy.gov/#/details/9","(317) 327-7163","4.5","30","249","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/Highland+Park/@39.7708465,-86.1380158,17z/data=!3m1!4b1!4m5!3m4!1s0x886b508b0a4f1def:0x2d47606256f4f7cb!8m2!3d39.7708465!4d-86.1380158?hl=en"
,"Indianapolis Motor Speedway","4790 W 16th St, Indianapolis, IN 46222","https://www.indianapolismotorspeedway.com/","(317) 492-8500","4.8","29","12303","false","Car racing track","tourist attractions in indianapolis","https://www.google.com/maps/place/Indianapolis+Motor+Speedway/@39.7953542,-86.2353006,17z/data=!3m1!4b1!4m5!3m4!1s0x886b57b65859029f:0x149621592eff1e90!8m2!3d39.7953542!4d-86.2353006?hl=en"
,"Fort Harrison State Park","6000 N Post Rd, Indianapolis, IN 46216","http://on.in.gov/fortharrisonsp","(317) 591-0904","4.7","28","4455","false","State park","tourist attractions in indianapolis","https://www.google.com/maps/place/Fort+Harrison+State+Park/@39.8683896,-86.019344,17z/data=!3m1!4b1!4m5!3m4!1s0x886b4c7c38b5cab3:0x113172404232ba5!8m2!3d39.8683896!4d-86.019344?hl=en"
,"The Indianapolis Cultural Trail","132 W Walnut St, Indianapolis, IN 46204","http://indyculturaltrail.org/","(317) 653-1948","4.8","27","40","false","Association or organization","tourist attractions in indianapolis","https://www.google.com/maps/place/The+Indianapolis+Cultural+Trail/@39.7771623,-86.1609596,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50c6dcea6731:0x1df0546876c3d488!8m2!3d39.7770607!4d-86.1609693?hl=en"
,"Kurt Vonnegut Museum & Library","543 Indiana Ave, Indianapolis, IN 46202","http://www.vonnegutlibrary.org/","(317) 423-0391","4.8","26","94","false","Heritage museum","tourist attractions in indianapolis","https://www.google.com/maps/place/Kurt+Vonnegut+Museum+%26+Library/@39.775508,-86.16627,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b8410b239b:0x722a1f2a1aba1d!8m2!3d39.775508!4d-86.16627?hl=en"
,"University Park","307 N Meridian St, Indianapolis, IN 46204",,,"4.5","25","63","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/University+Park/@39.7719785,-86.1570117,17z/data=!3m1!4b1!4m5!3m4!1s0x886b511b84e6a9b7:0xd2299e2e5a882ecb!8m2!3d39.7719785!4d-86.1570117?hl=en"
,"9/11 Memorial","421 W Ohio St, Indianapolis, IN 46202","http://9-11-memorial.keeq.io/","(317) 232-7615","4.8","24","326","false","Memorial park","tourist attractions in indianapolis","https://www.google.com/maps/place/9%2F11+Memorial/@39.7699095,-86.1658124,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b74f9cdc23:0x39b737922979f62c!8m2!3d39.7699095!4d-86.1658124?hl=en"
,"American Legion Mall","700 N Pennsylvania St, Indianapolis, IN 46204","http://www.in.gov/iwm/2331.htm","(317) 232-7615","4.5","23","521","false","Park","tourist attractions in indianapolis","https://www.google.com/maps/place/American+Legion+Mall/@39.777298,-86.1567927,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50c1ade9376b:0x77674bbaaf80186!8m2!3d39.777298!4d-86.1567927?hl=en"
