"address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","cid","city","countryCode","isAdvertisement","locatedIn","location/lat","location/lng","menu","neighborhood","permanentlyClosed","phone","placeId","plusCode","postalCode","price","rank","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","url","website"
"6800 E Fall Creek Pkwy N Dr, Indianapolis, IN 46226","Tourist attraction","Nature preserve",,,,,,,,,"Nature preserve","724851379758546836","Indianapolis","US","false",,"39.8627609","-86.0512693",,"6800 E Fall Creek Pkwy N Dr","false","(317) 327-2473","ChIJI8R9lq1Na4gRlL91TX0wDwo","VW7X+4F Indianapolis, Indiana","46226",,"80","10","3","5","0","2","0","2022-10-18T04:00:15.290Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","6800 E Fall Creek Pkwy N Dr",,"false","Woollen’s Garden","4.1","https://www.google.com/maps/place/Woollen%E2%80%99s+Garden/@39.8627609,-86.0512693,17z/data=!3m1!4b1!4m5!3m4!1s0x886b4dad967dc423:0xa0f307d4d75bf94!8m2!3d39.8627609!4d-86.0512693?hl=en","http://funfinder.indy.gov/#/details/71"
"501 W Maryland St, Indianapolis, IN 46225","Stadium","Baseball field",,,,,,,,,"Stadium","18301462664530290343","Indianapolis","US","false",,"39.7647442","-86.1686743",,"501 W Maryland St","false","(317) 269-3545","ChIJ05Oc77FQa4gRp-Zm_VPb-_0","QR7J+VG Indianapolis, Indiana","46225",,"79","4526","3776","614","23","90","23","2022-10-18T04:00:27.806Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","501 W Maryland St",,"false","Victory Field","4.8","https://www.google.com/maps/place/Victory+Field/@39.7647442,-86.1686743,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b1ef9c93d3:0xfdfbdb53fd66e6a7!8m2!3d39.7647442!4d-86.1686743?hl=en","http://www.indyindians.com/"
"850 W Stop 18 Rd, Greenwood, IN 46143","Tourist attraction","Park","Water park",,,,,,,,"Water park","16513613580308288339","Greenwood","US","false",,"39.5948175","-86.1273327",,"850 W Stop 18 Rd","false","(317) 884-2078","ChIJ2U5nrntda4gRU5NX9A4kLOU","HVVF+W3 Greenwood, Indiana","46143",,"78","1245","829","240","46","94","36","2022-10-18T04:00:39.707Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","850 W Stop 18 Rd",,"false","Freedom Springs Greenwood Aquatics Park","4.4","https://www.google.com/maps/place/Freedom+Springs+Greenwood+Aquatics+Park/@39.5948175,-86.1273327,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5d7bae674ed9:0xe52c240ef4579353!8m2!3d39.5948175!4d-86.1273327?hl=en","http://www.greenwood.in.gov/freedomsprings"
"400 East State Rd 64, Marengo, IN 47140","Tourist attraction","Park",,,,,,,,,"Tourist attraction","4300987776481778316","Marengo","US","false",,"38.3729416","-86.3378788",,"400 East State Rd 64","false","(812) 365-2705","ChIJFSvwMn2xbogRjFp-WJgtsDs","9MF6+5R Marengo, Indiana","47140",,"77","1500","1197","244","16","34","9","2022-10-18T04:00:52.099Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","400 East State Rd 64",,"false","Marengo Cave U.S. National Landmark","4.7","https://www.google.com/maps/place/Marengo+Cave+U.S.+National+Landmark/@38.3729416,-86.3378788,17z/data=!3m1!4b1!4m5!3m4!1s0x886eb17d32f02b15:0x3bb02d98587e5a8c!8m2!3d38.3729416!4d-86.3378788?hl=en","http://www.marengocave.com/"
"235 S Meridian St #211, Indianapolis, IN 46225","Event venue","Recreation center",,,,,,,,,"Event venue","7688282581772661615","Indianapolis","US","false",,"39.7633316","-86.1580671",,"235 S Meridian St #211","false","(844) 818-0999","ChIJL-sCLKNQa4gRb_NhG0ZEsmo","QR7R+8Q Indianapolis, Indiana","46225",,"76","1705","1574","88","13","21","9","2022-10-18T04:01:03.497Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","235 S Meridian St #211",,"false","Bad Axe Throwing Indianapolis","4.9","https://www.google.com/maps/place/Bad+Axe+Throwing+Indianapolis/@39.7633316,-86.1580671,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50a32c02eb2f:0x6ab244461b61f36f!8m2!3d39.7633093!4d-86.1580743?hl=en","https://badaxethrowing.com/locations/axe-throwing-indianapolis/"
"1422 Astor St, Indianapolis, IN 46222","Park",,,,,,,,,,"Park","14774265481520087504","Indianapolis","US","false",,"39.770473","-86.185491",,"1422 Astor St","false","(317) 233-2434","ChIJI0-XovZXa4gR0AFSky28CM0","QRC7+5R Indianapolis, Indiana","46222",,"75","13","12","1","0","0","0","2022-10-18T04:01:15.366Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","1422 Astor St",,"false","White River Scenic Viewpoint","4.9","https://www.google.com/maps/place/White+River+Scenic+Viewpoint/@39.770473,-86.185491,17z/data=!3m1!4b1!4m5!3m4!1s0x886b57f6a2974f23:0xcd08bc2d935201d0!8m2!3d39.770473!4d-86.185491?hl=en","https://www.whiteriverstatepark.org/"
"12295 Chiseled Stone Dr, Fishers, IN 46037","Tourist attraction",,,,,,,,,,"Tourist attraction","16617645673004221873","Fishers","US","false",,"39.967069","-85.9464821",,"12295 Chiseled Stone Dr","false","(317) 800-0645","ChIJE3HgO7G1FIgRsUW5DrK8neY","X383+RC Fishers, Indiana","46037",,"74","0","0","0","0","0","0","2022-10-18T04:01:27.003Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","12295 Chiseled Stone Dr",,"false","INdy ConneXion",,"https://www.google.com/maps/place/INdy+ConneXion/@39.967069,-85.9464821,17z/data=!3m1!4b1!4m5!3m4!1s0x8814b5b13be07113:0xe69dbcb20eb945b1!8m2!3d39.967069!4d-85.9464821?hl=en","https://indyconnexion.com/"
"126 W Georgia St, Indianapolis, IN 46225","Tourist attraction","Catholic church",,,,,,,,,"Catholic church","4919439334644198444","Indianapolis","US","false",,"39.7648686","-86.1616275",,"126 W Georgia St","false","(317) 635-2021","ChIJq8TOOLtQa4gRLCyNswJcRUQ","QR7Q+W8 Indianapolis, Indiana","46225",,"73","398","343","36","8","7","4","2022-10-18T04:01:39.981Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","126 W Georgia St",,"false","Saint John the Evangelist","4.8","https://www.google.com/maps/place/Saint+John+the+Evangelist/@39.7648686,-86.1616275,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50bb38cec4ab:0x44455c02b38d2c2c!8m2!3d39.7648681!4d-86.1616241?hl=en","http://www.stjohnsindy.org/"
"342-332 N Park Ave, Indianapolis, IN 46202","Historical place",,,,,,,,,,"Historical place","11483640729832100143","Indianapolis","US","false",,"39.7724126","-86.1471989",,"342-332 N Park Ave","false",,"ChIJASB4IJNQa4gRL5HZnWYWXp8","QVC3+X4 Indianapolis, Indiana","46202",,"72","3","1","2","0","0","0","2022-10-18T04:01:51.728Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","342-332 N Park Ave",,"false","Lockerbie Square Historic District","4.3","https://www.google.com/maps/place/Lockerbie+Square+Historic+District/@39.7724126,-86.1471989,17z/data=!3m1!4b1!4m5!3m4!1s0x886b509320782001:0x9f5e16669dd9912f!8m2!3d39.7724125!4d-86.1471946?hl=en",
"700 38th St, Indianapolis, IN 46208","Funeral home","Cemetery","Cremation service","Memorial park","Tourist attraction",,,,,,"Funeral home","8064906672494719840","Indianapolis","US","false",,"39.825539","-86.172127",,"700 38th St","false","(317) 925-3800","ChIJ9bpa90xRa4gRYLO5kONN7G8","RRGH+64 Indianapolis, Indiana","46208",,"71","132","103","10","15","0","4","2022-10-18T04:02:03.869Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","700 38th St",,"false","Crown Hill Funeral Home and Cemetery","4.4","https://www.google.com/maps/place/Crown+Hill+Funeral+Home+and+Cemetery/@39.825539,-86.172127,17z/data=!3m1!4b1!4m5!3m4!1s0x886b514cf75abaf5:0x6fec4de390b9b360!8m2!3d39.825539!4d-86.172127?hl=en","http://www.crownhill.org/"
"601 W 1st St, Madison, IN 47250","Tourist attraction","Historical landmark","Historical place museum","Museum",,,,,,,"Museum","2378549634993781250","Madison","US","false",,"38.7355288","-85.387179",,"601 W 1st St","false","(812) 265-3526","ChIJ08kjDC47aogRAnpwekpOAiE","PJP7+64 Madison, Indiana","47250",,"70","327","260","57","1","8","1","2022-10-18T04:02:21.878Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","601 W 1st St",,"false","Lanier Mansion State Historic Site","4.8","https://www.google.com/maps/place/Lanier+Mansion+State+Historic+Site/@38.7355288,-85.387179,17z/data=!3m1!4b1!4m5!3m4!1s0x886a3b2e0c23c9d3:0x21024e4a7a707a02!8m2!3d38.7356082!4d-85.3867996?hl=en","http://www.indianamuseum.org/lanier-mansion"
"1739 W Edgewood Ave, Indianapolis, IN 46217","Tourist attraction",,,,,,,,,,"Tourist attraction","5992152790146800163","Indianapolis","US","false",,"39.6774745","-86.1926966",,"1739 W Edgewood Ave","false",,"ChIJq84dINhZa4gRI9qQADdnKFM","MRG4+XW Indianapolis, Indiana","46217",,"69","0","0","0","0","0","0","2022-10-18T04:02:33.563Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","1739 W Edgewood Ave",,"false","indiana beach IM campgrounds",,"https://www.google.com/maps/place/indiana+beach+IM+campgrounds/@39.6774745,-86.1926966,17z/data=!3m1!4b1!4m5!3m4!1s0x886b59d8201dceab:0x532867370090da23!8m2!3d39.677537!4d-86.1926991?hl=en",
"216 E South St, Indianapolis, IN 46204","Tourist attraction","Art gallery",,,,,,,,,"Art gallery","12273062371317272764","Indianapolis","US","false",,"39.7617511","-86.1537171",,"216 E South St","false","(317) 624-8200","ChIJm-6zn3haa4gRvFCUhDOtUqo","QR6W+PG Indianapolis, Indiana","46204",,"68","22","8","5","3","5","1","2022-10-18T04:02:45.090Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","216 E South St",,"false","CityWay Gallery","3.6","https://www.google.com/maps/place/CityWay+Gallery/@39.7617511,-86.1537171,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5a789fb3ee9b:0xaa52ad33849450bc!8m2!3d39.7617511!4d-86.1537171?hl=en","https://www.cityway.com/artgallery"
"236 S Audubon Rd, Indianapolis, IN 46219","Tourist attraction","Park",,,,,,,,,"Park","3857982274951149050","Indianapolis","US","false",,"39.7663874","-86.0702446",,"236 S Audubon Rd","false","(317) 862-6876","ChIJgwLaZZRPa4gR-nU3SHBOijU","QW8H+HW Indianapolis, Indiana","46219",,"67","185","138","30","2","15","0","2022-10-18T04:02:57.884Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","236 S Audubon Rd",,"false","Irving Circle Park","4.6","https://www.google.com/maps/place/Irving+Circle+Park/@39.7663874,-86.0702446,17z/data=!3m1!4b1!4m5!3m4!1s0x886b4f9465da0283:0x358a4e70483775fa!8m2!3d39.7663874!4d-86.0702446?hl=en","http://funfinder.indy.gov/#/details/127"
"1215 N State Rd 49, Porter, IN 46304","Tourist attraction","National park",,,,,,,,,"National park","3723234417227663118","Porter","US","false","Indiana Dunes National Park Headquarters","41.6505655","-87.07082",,"1215 N State Rd 49","false","(219) 395-1882","ChIJ5UEWi4O-EYgRDgdd1vmVqzM","MW2H+6M Porter, Indiana","46304",,"66","8491","6423","1428","154","395","91","2022-10-18T04:03:10.897Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","1215 N State Rd 49",,"false","Indiana Dunes National Park","4.6","https://www.google.com/maps/place/Indiana+Dunes+National+Park/@41.6505655,-87.07082,17z/data=!3m1!4b1!4m5!3m4!1s0x8811be838b1641e5:0x33ab95f9d65d070e!8m2!3d41.6505655!4d-87.07082?hl=en","https://www.nps.gov/indu/index.htm"
"501 N Meridian St, Indianapolis, IN 46204","Memorial park",,,,,,,,,,"Memorial park","10935723357755415085","Indianapolis","US","false",,"39.7747816","-86.1568947",,"501 N Meridian St","false",,"ChIJo6tKZMBQa4gRLRr0NHR-w5c","QRFV+W6 Indianapolis, Indiana","46204",,"65","72","52","15","0","5","0","2022-10-18T04:03:22.993Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","501 N Meridian St",,"false","Obelisk Square","4.7","https://www.google.com/maps/place/Obelisk+Square/@39.7747816,-86.1568947,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50c0644aaba3:0x97c37e7434f41a2d!8m2!3d39.7747816!4d-86.1568947?hl=en","http://obelisk-square.edan.io/"
"800 Virginia Ave, Indianapolis, IN 46203","Park",,,,,,,,,,"Park","3600269616030992948","Indianapolis","US","false",,"39.7556694","-86.1440895",,"800 Virginia Ave","false",,"ChIJpZUSLnFRa4gRNMooByS69jE","QV44+79 Indianapolis, Indiana","46203",,"64","120","101","12","1","4","2","2022-10-18T04:03:35.173Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","800 Virginia Ave",,"false","Idle Park","4.8","https://www.google.com/maps/place/Idle+Park/@39.7556694,-86.1440895,17z/data=!3m1!4b1!4m5!3m4!1s0x886b51712e1295a5:0x31f6ba240728ca34!8m2!3d39.7556694!4d-86.1440895?hl=en","http://www.idleindy.com/"
"100N N Senate Ave, Indianapolis, IN 46204","Park",,,,,,,,,,"Park","17874611799560067355","Indianapolis","US","false",,"39.7687813","-86.1635697",,"100N N Senate Ave","false",,"ChIJhVt-oydRa4gRG5nIWrpgD_g","QR9P+GH Indianapolis, Indiana","46204",,"63","0","0","0","0","0","0","2022-10-18T04:03:45.664Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","100N N Senate Ave",,"false","Colorful Fountains",,"https://www.google.com/maps/place/Colorful+Fountains/@39.7687813,-86.1635697,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5127a37e5b85:0xf80f60ba5ac8991b!8m2!3d39.7687813!4d-86.1635697?hl=en",
"7001 Corporate Dr, Indianapolis, IN 46278","Tourist attraction",,,,,,,,,,"Tourist attraction","6181033259880274166","Indianapolis","US","false",,"39.8802782","-86.2648131",,"7001 Corporate Dr","false",,"ChIJO76wrdCrbIgR9tgJWABxx1U","VPJP+43 Indianapolis, Indiana","46278",,"62","0","0","0","0","0","0","2022-10-18T04:03:56.157Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","7001 Corporate Dr",,"false","indianapois raceway park",,"https://www.google.com/maps/place/indianapois+raceway+park/@39.8802782,-86.2648131,17z/data=!3m1!4b1!4m5!3m4!1s0x886cabd0adb0be3b:0x55c771005809d8f6!8m2!3d39.880264!4d-86.2649261?hl=en",
"1927 Alabama St, Indianapolis, IN 46202","Tourist attraction","Park",,,,,,,,,"Park","12584006636150142735","Indianapolis","US","false",,"39.7931971","-86.1519731",,"1927 Alabama St","false","(773) 610-2969","ChIJyXdEM-BQa4gRDzfj1lxfo64","QRVX+76 Indianapolis, Indiana","46202",,"61","78","64","12","0","1","1","2022-10-18T04:04:08.805Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","1927 Alabama St",,"false","Herron-Morton Place Park","4.8","https://www.google.com/maps/place/Herron-Morton+Place+Park/@39.7931971,-86.1519731,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50e0334477c9:0xaea35f5cd6e3370f!8m2!3d39.7931971!4d-86.1519731?hl=en","http://herron-morton.com/"
"801 W Washington St, Indianapolis, IN 46204","Park","Amphitheater",,,,,,,,,"Park","15209151584447677173","Indianapolis","US","false","White River State Park","39.7665145","-86.170606",,"801 W Washington St","false","(317) 233-2434","ChIJOZz0C7NQa4gR9cIS1sjCEdM","QR8H+JQ Indianapolis, Indiana","46204",,"60","29","21","6","0","2","0","2022-10-18T04:04:20.474Z","https://www.google.com/maps/search/tourist+attractions+in+indianapolis/@39.8040514,-86.2223063,12z/data=!4m2!2m1!6e1?hl=en","tourist attractions in indianapolis","Indiana","801 W Washington St",,"false","Celebration Plaza Amphitheater","4.7","https://www.google.com/maps/place/Celebration+Plaza+Amphitheater/@39.7665145,-86.170606,17z/data=!3m1!4b1!4m5!3m4!1s0x886b50b30bf49c39:0xd311c2c8d612c2f5!8m2!3d39.7665145!4d-86.170606?hl=en","https://www.whiteriverstatepark.org/"
